state,release_period,nurse_communication,doctor_communication,staff_responsiveness,recommend_hospital,communication_score,experience_score,executive_satisfaction_index
VA,07_2016,79.0,81.0,65.0,70.0,80.0,65.0,72.0
VA,07_2017,80.0,82.0,66.0,70.0,81.0,66.0,72.5
VA,07_2018,80.0,81.0,66.0,70.0,80.5,66.0,72.35
VA,07_2019,80.0,81.0,67.0,70.0,80.5,67.0,72.55
VA,07_2020,80.0,81.0,67.0,70.0,80.5,67.0,72.55
VA,07_2021,80.0,81.0,66.0,70.0,80.5,66.0,72.35
VA,07_2022,79.0,79.0,62.0,69.0,79.0,62.0,70.60000000000001
VA,07_2023,78.0,79.0,61.0,68.0,78.5,61.0,69.75
VT,07_2015,81.0,82.0,72.0,76.0,81.5,72.0,76.85000000000001
VT,07_2016,80.0,82.0,70.0,74.0,81.0,70.0,75.3
VT,07_2017,82.0,83.0,71.0,74.0,82.5,71.0,75.95
VT,07_2018,82.0,84.0,72.0,73.0,83.0,72.0,75.8
VT,07_2019,82.0,83.0,70.0,74.0,82.5,70.0,75.75
VT,07_2020,83.0,84.0,72.0,75.0,83.5,72.0,76.95
VT,07_2021,84.0,85.0,73.0,76.0,84.5,73.0,77.94999999999999
VT,07_2022,83.0,83.0,72.0,76.0,83.0,72.0,77.3
VT,07_2023,81.0,81.0,68.0,70.0,81.0,68.0,72.9
WA,07_2015,78.0,80.0,67.0,72.0,79.0,67.0,73.10000000000001
WA,07_2016,78.0,80.0,65.0,72.0,79.0,65.0,72.7
WA,07_2017,78.0,80.0,66.0,73.0,79.0,66.0,73.4
WA,07_2018,79.0,81.0,67.0,72.0,80.0,67.0,73.4
WA,07_2019,79.0,81.0,68.0,72.0,80.0,68.0,73.6
WA,07_2020,80.0,81.0,69.0,72.0,80.5,69.0,73.95
WA,07_2021,80.0,81.0,69.0,73.0,80.5,69.0,74.45
WA,07_2022,80.0,81.0,67.0,73.0,80.5,67.0,74.05
WA,07_2023,78.0,79.0,64.0,68.0,78.5,64.0,70.35
WI,07_2015,83.0,84.0,73.0,75.0,83.5,73.0,77.15
WI,07_2016,82.0,83.0,73.0,75.0,82.5,73.0,76.85
WI,07_2017,83.0,84.0,74.0,76.0,83.5,74.0,77.85
WI,07_2018,84.0,84.0,74.0,76.0,84.0,74.0,78.0
WI,07_2019,83.0,84.0,74.0,76.0,83.5,74.0,77.85
WI,07_2020,84.0,83.0,74.0,76.0,83.5,74.0,77.85
WI,07_2021,84.0,83.0,74.0,76.0,83.5,74.0,77.85
WI,07_2022,83.0,82.0,71.0,74.0,82.5,71.0,75.95
WI,07_2023,82.0,81.0,69.0,72.0,81.5,69.0,74.25
WV,07_2015,79.0,82.0,68.0,66.0,80.5,68.0,70.75
WV,07_2016,79.0,82.0,68.0,67.0,80.5,68.0,71.25
WV,07_2017,80.0,82.0,68.0,69.0,81.0,68.0,72.4
WV,07_2018,81.0,83.0,72.0,71.0,82.0,72.0,74.5
WV,07_2019,81.0,83.0,72.0,70.0,82.0,72.0,74.0
WV,07_2020,81.0,81.0,72.0,69.0,81.0,72.0,73.2
WV,07_2021,82.0,82.0,72.0,69.0,82.0,72.0,73.5
WV,07_2022,81.0,80.0,71.0,70.0,80.5,71.0,73.35
WV,07_2023,79.0,79.0,68.0,68.0,79.0,68.0,71.30000000000001
WY,07_2015,79.0,82.0,72.0,66.0,80.5,72.0,71.55
WY,07_2016,79.0,82.0,74.0,67.0,80.5,74.0,72.45
WY,07_2017,79.0,82.0,73.0,67.0,80.5,73.0,72.25
WY,07_2018,81.0,82.0,75.0,69.0,81.5,75.0,73.95
WY,07_2019,80.0,80.0,76.0,70.0,80.0,76.0,74.2
WY,07_2020,82.0,83.0,78.0,71.0,82.5,78.0,75.85
WY,07_2021,82.0,83.0,78.0,70.0,82.5,78.0,75.35
WY,07_2022,81.0,81.0,74.0,69.0,81.0,74.0,73.6
WY,07_2023,81.0,80.0,74.0,70.0,80.5,74.0,73.95
